""	"coverage"
"1"	0
"2"	0
"3"	0
"4"	0
"5"	0
"6"	0
"7"	0
"8"	0
"9"	0
"10"	0
"11"	0
"12"	0
"13"	0
"14"	0
"15"	0
"16"	0
"17"	0
"18"	0
"19"	0
"20"	0
"21"	1
"22"	1
"23"	1
"24"	1
"25"	1
"26"	1
"27"	1
"28"	1
"29"	1
"30"	1
"31"	1
"32"	1
"33"	1
"34"	1
"35"	1
"36"	1
"37"	1
"38"	1
"39"	1
"40"	1
"41"	1
"42"	1
"43"	1
"44"	1
"45"	0
"46"	0
"47"	0
"48"	0
"49"	0
"50"	0
"51"	0
"52"	0
"53"	0
"54"	0
"55"	0
"56"	0
"57"	0
"58"	0
"59"	0
"60"	0
"61"	0
"62"	0
"63"	0
"64"	0
"65"	0
"66"	0
"67"	0
"68"	0
"69"	0
"70"	0
"71"	0
"72"	0
"73"	0
"74"	0
"75"	0
"76"	0
"77"	0
"78"	1
"79"	1
"80"	1
"81"	1
"82"	1
"83"	1
"84"	1
"85"	1
"86"	1
"87"	1
"88"	1
"89"	1
"90"	1
"91"	1
"92"	1
"93"	1
"94"	1
"95"	1
"96"	1
"97"	1
"98"	1
"99"	1
"100"	1
"101"	1
"102"	1
"103"	1
"104"	1
"105"	1
"106"	1
"107"	0
"108"	0
"109"	0
"110"	0
"111"	0
"112"	0
"113"	0
"114"	0
"115"	0
"116"	0
"117"	0
"118"	0
"119"	0
"120"	0
"121"	0
"122"	0
"123"	0
"124"	0
"125"	0
"126"	0
"127"	0
"128"	0
"129"	0
"130"	0
"131"	0
"132"	0
"133"	0
"134"	0
"135"	0
"136"	0
"137"	0
"138"	0
"139"	0
"140"	0
"141"	0
"142"	0
"143"	0
"144"	0
"145"	0
"146"	0
"147"	0
"148"	0
"149"	0
"150"	0
"151"	0
"152"	0
"153"	0
"154"	0
"155"	0
"156"	0
"157"	0
"158"	0
"159"	0
"160"	0
"161"	0
"162"	0
"163"	0
"164"	0
"165"	0
"166"	1
"167"	1
"168"	1
"169"	1
"170"	1
"171"	1
"172"	1
"173"	1
"174"	1
"175"	1
"176"	1
"177"	1
"178"	1
"179"	1
"180"	1
"181"	1
"182"	1
"183"	1
"184"	1
"185"	1
"186"	1
