""	"coverage"
"1"	0
"2"	0
"3"	0
"4"	0
"5"	0
"6"	0
"7"	0
"8"	0
"9"	0
"10"	0
"11"	0
"12"	0
"13"	0
"14"	0
"15"	0
"16"	0
"17"	0
"18"	0
"19"	0
"20"	0
"21"	0
"22"	0
"23"	0
"24"	0
"25"	0
"26"	0
"27"	0
"28"	0
"29"	0
"30"	0
"31"	0
"32"	0
"33"	0
"34"	0
"35"	0
"36"	0
"37"	0
"38"	0
"39"	0
"40"	0
"41"	0
"42"	0
"43"	0
"44"	0
"45"	0
"46"	0
"47"	0
"48"	0
"49"	0
"50"	0
"51"	0
"52"	0
"53"	0
"54"	0
"55"	0
"56"	0
"57"	0
"58"	0
"59"	0
"60"	0
"61"	0
"62"	0
"63"	0
"64"	0
"65"	0
"66"	0
"67"	0
"68"	0
"69"	0
"70"	0
"71"	0
"72"	1
"73"	1
"74"	1
"75"	1
"76"	1
"77"	1
"78"	1
"79"	1
"80"	1
"81"	1
"82"	1
"83"	1
"84"	1
"85"	1
"86"	1
"87"	1
"88"	1
"89"	2
"90"	2
"91"	2
"92"	2
"93"	2
"94"	2
"95"	2
"96"	2
"97"	2
"98"	2
"99"	2
"100"	2
"101"	2
"102"	2
"103"	2
"104"	2
"105"	1
"106"	1
"107"	1
"108"	1
"109"	1
"110"	1
"111"	1
"112"	1
"113"	1
"114"	1
"115"	1
"116"	1
"117"	1
"118"	0
"119"	0
"120"	0
"121"	0
"122"	0
"123"	0
"124"	0
"125"	0
"126"	0
"127"	0
"128"	0
"129"	0
"130"	0
"131"	0
"132"	0
"133"	0
"134"	0
"135"	0
"136"	0
"137"	0
"138"	0
"139"	0
"140"	0
"141"	0
"142"	0
"143"	0
"144"	0
"145"	0
"146"	0
"147"	0
"148"	0
"149"	1
"150"	1
"151"	1
"152"	1
"153"	1
"154"	1
"155"	1
"156"	1
"157"	1
"158"	1
"159"	1
"160"	1
"161"	1
"162"	1
"163"	1
"164"	1
"165"	1
"166"	1
"167"	1
"168"	1
"169"	1
"170"	1
"171"	1
"172"	1
"173"	1
"174"	1
"175"	1
"176"	1
"177"	1
"178"	1
"179"	0
"180"	0
"181"	0
"182"	0
"183"	0
"184"	0
"185"	0
"186"	0
