""	"coverage"	"feature"
"1"	0	"Exon 1"
"2"	0	""
"3"	0	""
"4"	0	""
"5"	0	""
"6"	0	""
"7"	0	""
"8"	0	""
"9"	1	""
"10"	1	""
"11"	1	""
"12"	1	""
"13"	1	""
"14"	1	""
"15"	1	""
"16"	1	""
"17"	1	""
"18"	1	""
"19"	1	""
"20"	1	""
"21"	1	""
"22"	1	""
"23"	1	""
"24"	1	""
"25"	1	""
"26"	1	""
"27"	1	""
"28"	1	""
"29"	1	""
"30"	1	""
"31"	1	""
"32"	1	""
"33"	2	""
"34"	2	""
"35"	2	""
"36"	2	""
"37"	2	""
"38"	2	""
"39"	2	""
"40"	1	""
"41"	1	""
"42"	1	""
"43"	1	""
"44"	1	""
"45"	1	""
"46"	1	""
"47"	1	""
"48"	1	""
"49"	1	""
"50"	1	""
"51"	1	""
"52"	1	""
"53"	1	""
"54"	1	""
"55"	1	""
"56"	1	""
"57"	1	""
"58"	1	""
"59"	1	""
"60"	1	""
"61"	1	""
"62"	1	""
"63"	1	""
"64"	1	""
"65"	0	""
"66"	0	""
"67"	0	""
"68"	0	""
"69"	0	""
"70"	0	""
"71"	0	""
"72"	0	""
"73"	0	""
"74"	0	""
"75"	0	""
"76"	0	""
"77"	0	""
"78"	0	""
"79"	0	""
"80"	0	""
"81"	0	""
"82"	0	""
"83"	0	""
"84"	0	""
"85"	0	""
"86"	0	""
"87"	0	""
"88"	0	""
"89"	0	""
"90"	1	""
"91"	1	""
"92"	1	""
"93"	1	""
"94"	1	""
"95"	1	""
"96"	1	""
"97"	1	""
"98"	1	""
"99"	1	""
"100"	1	""
"101"	1	""
"102"	1	""
"103"	1	""
"104"	1	""
"105"	1	""
"106"	1	""
"107"	1	""
"108"	2	""
"109"	2	""
"110"	2	""
"111"	2	""
"112"	2	""
"113"	2	""
"114"	2	""
"115"	2	""
"116"	1	""
"117"	1	""
"118"	1	""
"119"	1	""
"120"	1	""
"121"	1	""
"122"	1	""
"123"	1	""
"124"	1	""
"125"	1	""
"126"	1	""
"127"	1	""
"128"	1	""
"129"	1	""
"130"	0	""
"131"	0	""
"132"	0	""
"133"	0	""
"134"	0	""
"135"	0	""
"136"	0	""
"137"	0	""
"138"	0	""
"139"	0	""
