""	"coverage"
"1"	0
"2"	0
"3"	0
"4"	0
"5"	0
"6"	0
"7"	0
"8"	0
"9"	0
"10"	0
"11"	0
"12"	0
"13"	0
"14"	0
"15"	0
"16"	0
"17"	0
"18"	0
"19"	0
"20"	0
"21"	0
"22"	0
"23"	0
"24"	0
"25"	0
"26"	0
"27"	2
"28"	2
"29"	2
"30"	2
"31"	2
"32"	2
"33"	2
"34"	2
"35"	2
"36"	2
"37"	2
"38"	2
"39"	2
"40"	2
"41"	2
"42"	2
"43"	2
"44"	2
"45"	2
"46"	2
"47"	3
"48"	8
"49"	8
"50"	9
"51"	9
"52"	9
"53"	9
"54"	9
"55"	9
"56"	9
"57"	7
"58"	7
"59"	7
"60"	7
"61"	7
"62"	7
"63"	7
"64"	7
"65"	8
"66"	8
"67"	8
"68"	8
"69"	8
"70"	8
"71"	8
"72"	8
"73"	8
"74"	8
"75"	8
"76"	8
"77"	8
"78"	7
"79"	4
"80"	3
"81"	3
"82"	3
"83"	3
"84"	3
"85"	3
"86"	3
"87"	3
"88"	3
"89"	3
"90"	3
"91"	2
"92"	2
"93"	2
"94"	2
"95"	2
"96"	2
"97"	2
"98"	2
"99"	2
"100"	2
"101"	2
"102"	2
"103"	2
"104"	2
"105"	2
"106"	2
"107"	2
"108"	1
"109"	0
"110"	0
"111"	0
"112"	0
"113"	0
"114"	0
"115"	0
"116"	0
"117"	0
"118"	0
"119"	0
"120"	0
"121"	0
"122"	0
"123"	0
"124"	0
"125"	0
"126"	0
"127"	1
"128"	1
"129"	1
"130"	1
"131"	1
"132"	1
"133"	1
"134"	1
"135"	1
"136"	1
"137"	1
"138"	1
"139"	1
"140"	1
"141"	1
"142"	2
"143"	2
"144"	2
"145"	2
"146"	2
"147"	2
"148"	2
"149"	2
"150"	2
"151"	2
"152"	2
"153"	2
"154"	2
"155"	2
"156"	2
"157"	2
"158"	1
"159"	1
"160"	1
"161"	1
"162"	1
"163"	1
"164"	1
"165"	1
"166"	2
"167"	2
"168"	2
"169"	2
"170"	2
"171"	2
"172"	2
"173"	2
"174"	2
"175"	2
"176"	2
"177"	2
"178"	2
"179"	2
"180"	2
"181"	2
"182"	4
"183"	4
"184"	4
"185"	4
"186"	5
